time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-01-31T07:24:33.905Z,35.4007,141.6921,24.501,4.4,mb,22,141,2.76,0.73,us,us7000lx3l,2024-04-13T19:29:03.040Z,"86 km ESE of Hasaki, Japan",earthquake,8.29,7.071,0.24,5,reviewed,us,us
2024-01-29T22:55:26.716Z,35.3868,141.403,13.703,4.2,mb,28,154,2.62,0.5,us,us7000lwf6,2024-04-13T19:27:12.040Z,"64 km SE of Hasaki, Japan",earthquake,8.43,5.688,0.159,11,reviewed,us,us
2024-01-29T20:03:05.077Z,35.3911,141.2952,28.066,4.8,mb,71,118,2.58,0.53,us,us7000lutd,2024-04-13T19:26:56.040Z,"56 km SE of Hasaki, Japan",earthquake,7.02,5.096,0.063,78,reviewed,us,us
2024-01-27T23:59:29.184Z,35.5331,139.9558,70.051,5.1,mb,172,66,1.737,0.57,us,us7000lufj,2024-03-30T22:34:36.040Z,"11 km W of Ichihara, Japan",earthquake,7.02,4.892,0.047,146,reviewed,us,us
2024-01-24T18:12:54.176Z,32.4355,141.8085,10,4.4,mb,21,153,1.812,0.69,us,us7000lurj,2024-03-30T22:34:58.040Z,"Izu Islands, Japan region",earthquake,10.35,1.94,0.189,8,reviewed,us,us
2024-01-23T04:30:58.404Z,32.4784,141.896,10,4.6,mb,48,88,1.865,0.41,us,us7000lt4j,2024-03-30T22:32:40.040Z,"Izu Islands, Japan region",earthquake,5.12,1.705,0.116,23,reviewed,us,us
2024-01-19T06:43:28.914Z,35.6547,140.5583,59.931,4.3,mb,30,155,2.098,0.58,us,us6000m4m5,2024-03-29T17:37:53.040Z,"5 km S of Yōkaichiba, Japan",earthquake,5.72,7.431,0.133,16,reviewed,us,us
2024-01-16T01:18:21.942Z,32.7676,138.1824,10,4.1,mb,19,120,1.415,0.79,us,us7000lt80,2024-03-29T17:37:55.040Z,"203 km S of Ōyama, Japan",earthquake,7.47,1.914,0.166,10,reviewed,us,us
2024-01-05T06:31:42.601Z,32.3484,141.7854,10,4.6,mb,24,123,1.829,0.95,us,us6000m3xi,2024-03-09T21:40:38.040Z,"Izu Islands, Japan region",earthquake,6.3,1.828,0.172,10,reviewed,us,us
2024-01-04T12:15:41.177Z,36.1379,142.1221,27.678,4.4,mb,43,143,3.185,0.61,us,us6000m1rg,2024-03-09T21:39:19.040Z,"124 km ENE of Hasaki, Japan",earthquake,8.51,5.625,0.13,17,reviewed,us,us
